case_sfid,account_sfid,case_number,case_contact_name,case_product,case_status,case_resolution,case_details,case_closure,case_priority,case_severity,case_reason,case_type,case_category,case_created_date,case_closed_date
f69fbb1f187ce40d768d1aac1b074b01dc9c33ca9fcd29a11e972463dfe9b24b,c66b7cd96ea9c59b452606e5c18931bc9e6ee2bc144713a016c2a050d5f9ab2f,69889,Contact_7a3a093d,Esko,Working,Undefined,Trial,Undefined,Normal,Medium,Other,License Activation,Licensing,2025-01-09,
a24dd353eb450838051896e76350e294fa4eaef4f8b694f4b2d63b89dc0292d0,70d062acf4154bf7cad4f64edc6504544ee676ce8581d9f0df3fb0ada118f3ad,69888,Contact_e87abb7f,GVD,Duplicate,Undefined,Trial,Undefined,Normal,Undefined,Other,License Activation,Licensing,2025-01-09,2025-01-09
924d96b3829921ca30030ce20d954f05d1ac067b5932457247348fc39987dee6,58912bf7e5131400adbc1c1521158b7b8cc2f2f3fbd51ff73ad8d816007bfbdf,69900,Contact_6f59abbf,GVD,Closed,Done,Full,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-09,2025-01-09
e3cf180519991f41b34b01b3da0280ba32d8b78bedaed1ef048c535b901d9726,38b397cf7adac2747fba692ccdb96752e8c3f637994cd074718375594af329a5,69907,Contact_d3c738cf,GVD Lite Perpetual,Waiting On Customer,Undefined,Undefined,Undefined,Normal,Medium,Other,Software Performance,Software,2025-01-09,
4711377b42a133f9844ce9ad591703b831a93fc6a7fbd2056d0553d7562f3030,23565a066c8dfdb5531c6ef71fc8c157ec1be9e67aa232fdb73f4017d7e75cd3,69893,Contact_18b25c82,Verify,Waiting On Customer,Undefined,Module Affected: Text,Undefined,not_priority,Medium,Other,Software Performance,Software,2025-01-09,
19057d3267113fa92c4c4b27bac09110e1b738a180d9b3e6e7c1e4e05e8a2874,69a28f1503dc57ff16d04dd7fec39e4e0b3a1f87b4d74483e38056564d7bedbb,69901,Contact_213b14c3,Verify,Working,Undefined,Undefined,Undefined,Normal,Medium,Other,Software Performance,Software,2025-01-09,
b8d1e525233c942f3801f44cb9a7366ec9fbb92a51e46c81b3275d90998b1fa0,c66b7cd96ea9c59b452606e5c18931bc9e6ee2bc144713a016c2a050d5f9ab2f,69903,Contact_a53d3106,Esko,Waiting On Customer,Undefined,Undefined,Undefined,Normal,Medium,Other,Undefined,Software,2025-01-09,
2fb1673fa9514935f4342b346c67ecdbeaf6b55199522ff1ed7fb1ade7829887,,69911,Contact_f02dfb7d,Other,New,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-09,
1160cc4bb83a7e2f85d90c68720a16d6448599418ca0ebcf07c1e2f030a2ea4d,,69822,Contact_f02dfb7d,Other,New,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,
88587b1f4a170a42185b37f49ad2f7d2d4820696bb29a2b9f52787a2734fdd77,,69832,Contact_f02dfb7d,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
feb8619c6d60c9172f3f62e756594c04e50b76aeee0032d5a8dfd6b2c99ac1d7,b42a71bfaa6d95ed2fd311786bdf0adb65add6d47efe6e2012ff548d334a5b76,69828,Contact_a7ed6b6f,GVD,Duplicate,Undefined,Full,Undefined,Normal,Undefined,Other,License Activation,Licensing,2025-01-08,2025-01-08
7ac20ac15acb77535ba18a7b2c293e840c268ba9fce4fe06970540d4a35e438e,87b5772b6964f23ef7db8085e8f91c41937979575f8afdfa63b4b1c3948e4fce,69851,Contact_6f59abbf,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
5cc6614ac0d15d0166053228e60bd8bd98579a4fa8abb500cbf76e78403aa2fc,,69850,Contact_f02dfb7d,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
204aac3b7619c5206b906e50fce23b3b6f8cbf47e0bb01c797789a7ff2a30a5e,87b5772b6964f23ef7db8085e8f91c41937979575f8afdfa63b4b1c3948e4fce,69861,Contact_52b001c8,Not a Support Case,Closed,Undefined,Undefined,Undefined,Normal,Low,Other,Undefined,Undefined,2025-01-08,2025-01-08
18a93c33f89f386e64d09c63a36cfc32bc85cde24d0d02ad43cb3971bb1d8fac,6bad06c3c7f2472ded28a5f783103f751ad31b801378377158ede6f6ce3bff4b,69845,Contact_7a4a0626,Verify Enterprise,Closed,Done,Modification,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-08,2025-01-08
cf3feb21e9e6a41217bd29b44aa43653151035103a23f93a2e704974e8841cf6,4da8c0e8bb2550f6c45cda1739faed4fff3c4a596b685925bcdd6a1ae3798e12,69873,Contact_ee08db46,GVW,Closed,Fixed,Undefined,Undefined,Normal,Low,Other,User Access Issue,Licensing,2025-01-08,2025-01-08
0f1f999079c4408ab0214378e315bc288503c0cf7649613ba2ccc31c3f6e3d28,b0a3bf27aac37d183f3dc5a19110091b305c58f75d59819ae8a9202a3232c640,69838,Contact_ddbb9aeb,GVD,Waiting On Customer,Undefined,Online,Undefined,Normal,Medium,Other,License Issue,Licensing,2025-01-08,
2c397912658b49c06c6aece743878d4720459a0f9df543a170a6e69acdfcb74d,5f10037e2103df5ad2060b49242677da0b7bf8b2c88a67c707115fa3b8708690,69869,Contact_0f024263,Other,Duplicate,Undefined,Undefined,Undefined,not_priority,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
a1446b1dd7b9367e8b852fd3d79adbe1ed409e2bdd6f42382e5e5662abf83c83,a6b6a3deac72bfbd98608d35a5c4d165e05ff0a89debb281b35fcaa665e47a8d,69843,Contact_4277b3f8,Other,Duplicate,Undefined,Undefined,Undefined,not_priority,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
b54fd3297b76ffb3e7cd85b64b30678e09f62cb276be221e089f164b7c6e76f6,19b2b79c3241269d02ba77e8435b504dd87bbbc51d466a2bcdf869e07a74756a,69858,Contact_1ccbf565,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
4eeca9ada0a899e82d8f2f42b402a2b0a15f7b9bf8c2c607cfae2f32c291cb89,2dfe9bd244b9780974216608e7ff380951b99c8196608c4bf87c7b5de0082514,69844,Contact_4e15aa20,Verify Enterprise,Closed,Done,Modification,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-08,2025-01-08
fa699eb07885750b647429c4af2ed7a6dacdb5a6ea81444a8b8b6122541a5b83,3a98fe8a1515052bb08e0b2572a1ab65e9f66d92d8e6c0086c984d2f9a0064c3,69856,Contact_7d413935,GVD,Working,Undefined,Module Affected: Graphics,Undefined,Normal,Medium,Other,Software Performance,Software,2025-01-08,
5b3b192f3ef198aa0b2ccf26098592bd20bdc1ca5cda021c2db9c6f46ad56af2,6a96e62b2f81b894303d813c4b729c912c259087c60b879137c443a94d8a6e56,69852,Contact_38e37af8,GVD,Waiting On Customer,Undefined,Module Affected: Graphics,Undefined,Normal,Medium,Other,Software Performance,Software,2025-01-08,
1970900ea446385f92f8bb39e485b53b079a0adff4b67c3e5d6398a5143e0cc6,,69821,Contact_f02dfb7d,Other,New,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,
e66f7a5f8841351d3eba98db46e73a021b22d5e0614510b6a7ce967e88aec804,,69866,Contact_f02dfb7d,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
e32172d80d04d30419e794d81d43dba638d89752661ad718b4dcbb9de985356c,,69827,Contact_f02dfb7d,Other,New,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,
5c009fe824209df03d9d6ce62e9d3ede5d38e631b99add1820f17eb4e27ada3b,0032ac87ff59afbd220ab337e3db439ba8fd2cf954ef0263de34bed2fb408f90,69855,Contact_6c598ae9,GVW,Closed,Fixed,Undefined,Undefined,Normal,Medium,Other,User Access Issue,Licensing,2025-01-08,2025-01-08
869a088d27a97e233ad50e4abdb10ce2140f9c1488e243b1573f1fdd468a9ead,,69835,Contact_f02dfb7d,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
9a7368a5f8cab9eda1264a913b970b34918d3e5e828c845b77cd70403117ef1f,a6b6a3deac72bfbd98608d35a5c4d165e05ff0a89debb281b35fcaa665e47a8d,69841,Contact_4277b3f8,Verify,Closed,Fixed,Module Affected: Text,Undefined,not_priority,Medium,Other,Software Performance,Software,2025-01-08,2025-01-08
99afeff811ac418fda03a3199e8bcce77bc74ac08396efdf750a6423ca1d7c5f,968eed88526b4ec2179d7ad335bec28b7c83aa7f0299b687cf1a53a8d4f463bc,69848,Contact_6883664c,Verify Enterprise,Closed,Done,Trial,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-08,2025-01-08
953e2867ef3697c455d41e416d7cbcae3577869916993794b8fb6003ee32945c,aae139b43a0f4c54e2ee1a847194d66a8462566911c892e7616e2c109998c63e,69878,Contact_7a35781b,GVD Perpetual,Waiting On Customer,Undefined,Full,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-08,
dec143ba96a16657a782f79092d9f7f3ccc52c4d290c09d49e0f86bfb07ef6f2,87b5772b6964f23ef7db8085e8f91c41937979575f8afdfa63b4b1c3948e4fce,69837,Contact_dc8f6c18,GVW,Waiting On Customer,Undefined,Undefined,Undefined,Normal,Medium,Other,User Access Issue,Licensing,2025-01-08,
1b34cd55018985e1d0b6b831507f65cb1521650f1dc361864e4fb91a2f1352d5,,69834,Contact_f02dfb7d,Other,New,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,
7066fe25de6bfe04ad26ccaf304e2965eb53dc58e37ed1ecc313336ebaf31b7a,a6b6a3deac72bfbd98608d35a5c4d165e05ff0a89debb281b35fcaa665e47a8d,69846,Contact_4277b3f8,Other,Duplicate,Undefined,Undefined,Undefined,not_priority,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
4ee06912b582a91627a3c08d4a47b69b885a0179d02efefeba0ecbc7d9c60124,87b5772b6964f23ef7db8085e8f91c41937979575f8afdfa63b4b1c3948e4fce,69833,Contact_52b001c8,Not a Support Case,Closed,Undefined,Undefined,Undefined,Normal,Low,Other,Undefined,Undefined,2025-01-08,2025-01-08
b6e12461ba2cfbc2bef33a4aa29e372cec6e5b9386feede3feb91e86e77e086f,53d09b7d8edd23e0421c7c0c8618aeef76e44a7277f4658753632669371cda9c,69829,Contact_33bc5f44,Complete Platform Bundle,Closed,Done,Trial,Undefined,Normal,Medium,Other,License Activation,Licensing,2025-01-08,2025-01-08
cd8b0c6d02234e273b518a055ee85169848f3d72ba7e0ee58d93af2b689f118b,b384f1ea0fac425a4ed99fd56bd0a68711d51deea4ea23d9f3bce6e0f3d5bfa8,69840,Contact_53a9c1ea,GVD,Closed,Done,Full,Undefined,Normal,Medium,Other,License Activation,Licensing,2025-01-08,2025-01-08
ab10370851b82a44b22767bf30ecd028b3bb4405adc999cfdbeb3a1ce75a3a37,6bad06c3c7f2472ded28a5f783103f751ad31b801378377158ede6f6ce3bff4b,69842,Contact_7a4a0626,Verify Enterprise,Closed,Done,Modification,Undefined,Normal,Medium,Other,License Activation,Licensing,2025-01-08,2025-01-08
b520d7d693a52a8f7d0f913163e0bf10fd5bda53a6c714f84a753ea481b430dc,,69865,Contact_f02dfb7d,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
05b238ebe14036be748a0870b8e417e210779a4a673c511430cfa187269fff3e,,69836,Contact_f02dfb7d,Other,New,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,
5e3b8eaf4f076f8ceb703c92d7bc10fab58909b7c8d4c8c5e250f56762da0078,87b5772b6964f23ef7db8085e8f91c41937979575f8afdfa63b4b1c3948e4fce,69847,Contact_52b001c8,Not a Support Case,Closed,Undefined,Undefined,Undefined,Normal,Low,Other,Undefined,Undefined,2025-01-08,2025-01-08
bea704b511095cce8a601e6fa0fd5cc235d1ef2fec7634df72f45871b7b33310,87b5772b6964f23ef7db8085e8f91c41937979575f8afdfa63b4b1c3948e4fce,69854,Contact_52b001c8,Not a Support Case,Closed,Undefined,Undefined,Undefined,Normal,Low,Other,Undefined,Undefined,2025-01-08,2025-01-08
7612f1f430d838fc7314a454020a99a6697d52c4107c31d2179a9fa4c5216bb9,27a848838692443bdca3909b3a9c2876b25e078a2c090d7a892bc01d75550fa5,69881,Contact_c4ede4b9,GVD,Closed,Done,Full,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-08,2025-01-08
f4df6f0282bd83192fe018fa2d0995ec44c0efd6351d7abae79e0b21259c742c,a99000f04cf269899a6dd06d29d0e4686bee992ca1f39ff9aa73d9f421658b8f,69863,Contact_21b1ded7,GVD,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Software Performance,Software,2025-01-08,2025-01-08
af87505ca0fd96f3d6f0ff7fa2510757496fa1d09f4f7542936378d4889df7d2,9f6c459cec6f373d3f9a86cd2d9a74dfe5e92c77fc7245bf97455d07a541962f,69870,Contact_b1d5775c,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
e5a0479f262934eea051b4a090bad56075367a792477a65bf186ae780ce93515,69c47bfd021880079c5cc8724f242df63babf1af4d5ccd110856faad07055558,69877,Contact_f02dfb7d,GVD Perpetual,Assigned,Undefined,Full,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-08,
c8db7f148becbbdaa819342b2cab944f755a98d6a94ae4c4769721874f42ddb3,87b5772b6964f23ef7db8085e8f91c41937979575f8afdfa63b4b1c3948e4fce,69874,Contact_6f59abbf,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
eb5e879790a2edd6a515526ab839f8d5a8b2d5e3293b6525a4c0e476b5c82aca,,69859,Contact_f02dfb7d,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
1072f7fd063486bb8a4be3add15e51e42bb5f8374251cbf532e5bbfdd1dbb2a2,7a7eafa7fa2d87158bd8cf119d2706b83aeb9d8c6874181d5d49d9f97e8b05a7,69879,Contact_7a35781b,GVD,Closed,Done,Full,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-08,2025-01-09
c95ea0f25a5ba4eb92b2073f45bd27dcbec96d3dc5016fe8be42c6411306e5aa,5f10037e2103df5ad2060b49242677da0b7bf8b2c88a67c707115fa3b8708690,69871,Contact_0f024263,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
3d97ac881adb4567bddec6eb05494383fc5c63613339c1c7054e7fc28b8d3ef7,87b5772b6964f23ef7db8085e8f91c41937979575f8afdfa63b4b1c3948e4fce,69875,Contact_04fea62e,Not a Support Case,Closed,Undefined,Undefined,Undefined,Normal,Low,Other,Undefined,Undefined,2025-01-08,2025-01-09
968cf9fde10a41fbfe21da9a06559361bb8eba6ca5bb988d0455ab3ea0569fdd,8abd328832e33b945f26ec7a45d99300f6bb6b40237d40ec9a9ffa029226ada0,69820,Contact_f02dfb7d,GVD,Closed,Done,Trial,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-08,2025-01-08
c0db54c641e989e0fc8fe5bc4aeafc6c1bf1ddd38c8b6fdf847cc6e29602913d,0032ac87ff59afbd220ab337e3db439ba8fd2cf954ef0263de34bed2fb408f90,69882,Contact_6c598ae9,GVW,Working,Undefined,Modification,Undefined,Normal,Medium,Other,License Activation,Licensing,2025-01-08,
88a43e1b92873e88d82a9ccdaad28b6af5e0b8ce7b6a2be9f35a4622906b4118,,69823,Contact_f02dfb7d,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
8faabcc8958699469b160d7a8c40bbe5f58d7c7de18b8a7233cae8e5b832060c,0e4584dfac93e09d6eb10486d596efa4a28709bee0f07525d7849eff118241eb,69885,Contact_cb9c5d58,GVW,Closed,Done,Trial,Undefined,Normal,Medium,Other,License Activation,Licensing,2025-01-08,2025-01-09
43d57aa55f9cf5587e38567420ca84b7a085169876dd30fc3c41c2fbf635e56f,2dc3afacf988fabe635e1c03408ae90e42ebce1ace1c706fa40bd628a0434e95,69825,Contact_24faf233,GVD Lite Perpetual,Waiting On Customer,Undefined,Full,Undefined,Normal,Medium,Other,License Activation,Licensing,2025-01-08,
3fb2d98ff361caae6b0bcf7db93cc51da713f5f9b7765d9a6f6722bd68100322,c29d20d86a118742713cf1e8ac400899818c854993b0189ff4d3d4cd623541e4,69824,Contact_2bd0cfe2,GVD,Duplicate,Undefined,Other,Undefined,Normal,Undefined,Other,Software Question,Software,2025-01-08,2025-01-08
f8e8d89a83c4e0e2f8309b6f5e13a2e5980d053146feebf8ece06937078cd8b9,92c183dcc7baf4bdb4fe673b75d6751dfb8c85d70a688c301f4b2b1c9fd144ae,69830,Contact_376ec509,Esko,Closed,Done,Modification,Undefined,Normal,Medium,Other,License Activation,Licensing,2025-01-08,2025-01-08
e4b036ce165f081eac560f3e8bcb345d7540f6ac17a158d825be6f99402cb9c2,7712e7fdc054bb705fdcebff00811739b91b8462d03b3aa7bda4b6a84dbc5901,69831,Contact_eb3b72de,GVD,Waiting On Customer,Undefined,Other,Undefined,Normal,Medium,Other,Software Question,Software,2025-01-08,
7d921bb1185a72ce64be318ad600cddd38147f81188d6843c0cccbb3bff8274c,b8d6a5fd472f60ca52c386fe0d698ec27e601df0600ebc2c7aad12e15d9cbef5,69839,Contact_3b35ed55,GVD,Waiting On Customer,Undefined,Module Affected: Graphics,Undefined,Normal,Medium,Other,Software Performance,Software,2025-01-08,
96dcdcba507cc5558c5d4070383f396770343b520947eeb9c77a13f2cbf71df4,a6b6a3deac72bfbd98608d35a5c4d165e05ff0a89debb281b35fcaa665e47a8d,69826,Contact_4277b3f8,Verify,Waiting On Customer,Undefined,Module Affected: Spelling,Undefined,not_priority,Medium,Other,Software Performance,Software,2025-01-08,
4ae3812d52114234845fb855795809b4ed0a3a24a88207001998257964e8a363,,69853,Contact_f02dfb7d,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
3f5863c12df92fe63b5628490cefddaed53cfacc7ab76c31a5f02497589491cb,9f6c459cec6f373d3f9a86cd2d9a74dfe5e92c77fc7245bf97455d07a541962f,69864,Contact_b1d5775c,Verify,Waiting On Customer,Undefined,Undefined,Undefined,Normal,Medium,Other,Software Performance,Software,2025-01-08,
6842bd47dd3e8c64b318016ead796263e4c1e7941caec9e0aea03f4f2f1a8562,,69867,Contact_f02dfb7d,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
41756049268d499761d02313f31a6dd6c4266e629da8061a6cc7f93cad6cf595,5f10037e2103df5ad2060b49242677da0b7bf8b2c88a67c707115fa3b8708690,69868,Contact_0f024263,GVD Entreprise,Closed,Fixed,Undefined,Undefined,Normal,Medium,Other,User Access Issue,Licensing,2025-01-08,2025-01-08
9f635796f0eb053309fccf4b551f4ed4cfb8cf6b3d9134146ec032a36abf8e16,,69860,Contact_f02dfb7d,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
72cf3bcc55c96dc85d05b9085f3d9301ff754e97334fc7d30b3544b803f994b5,28d15a0476b370dc5827b606dc7b48b692ed702beab0d8729f1a4bfa3fd68e0e,69883,Contact_c4ede4b9,GVD,Closed,Done,Full,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-08,2025-01-08
85f3ff7a3df8b2d9cbb17c583b9ad8067b0affb523afa680ea1fe3ecc42bedb7,e2494728998b67f23f0e57ef2441feb32e15911b3c9f13e2dda5dc4475528a10,69876,Contact_0e383f60,Esko,Waiting On Customer,Undefined,Module Affected: Graphics,Undefined,Normal,Medium,Other,Inspection Results,Software,2025-01-08,
9254b30a40c7887845fae6baee960522ae4f0c86e7d99b46172df192f0199739,,69872,Contact_f02dfb7d,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,2025-01-08
901f12a89a48a0a168e2aaa1f158844a74961b3f716892f855c2146667149b5e,dfd888358df5b0717f992aac99e0dd06c8b63f7fb42c896c883359508060021e,69862,Contact_ea2e4a8a,GVD,Waiting On Customer,Undefined,Undefined,Undefined,Normal,Medium,Other,User Access Issue,Licensing,2025-01-08,
eda18eb8e9d3389289fe707b664d668b48f25226d5e2ab4fa201e2a432f29bca,87b5772b6964f23ef7db8085e8f91c41937979575f8afdfa63b4b1c3948e4fce,69884,Contact_cb9c5d58,GVW,Duplicate,Undefined,Trial,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-08,2025-01-08
cdbedd9c1d46f19cad3e66b45213fc499cbf084c5bba461f355ee8c87ebe7760,87b5772b6964f23ef7db8085e8f91c41937979575f8afdfa63b4b1c3948e4fce,69880,Contact_52b001c8,Other,Working,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-08,
81555f54a7ca8a320db3c2ab2d4a15e17917706d918ad33ef38ba262949df5f4,c66b7cd96ea9c59b452606e5c18931bc9e6ee2bc144713a016c2a050d5f9ab2f,69849,Contact_898aa157,Esko GlobalVision Inspections,Waiting On Customer,Done,Trial,Undefined,Normal,Medium,Other,License Activation,Licensing,2025-01-08,
f012e3062360c9d555b1bc2217ad1a73409ddf08d0c35396b429f03a838b3557,908d42c9a4e3f4beae8bf394dd2ed82090a219cdf6451877e580d3edaa598ac7,69819,Contact_6f59abbf,Verify,Closed,Fixed,Undefined,Undefined,Normal,Medium,Other,User Access Issue,Licensing,2025-01-08,2025-01-09
